VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Latitude,Longitude
1N4BZ1CP8K,King,Seattle,WA,98112.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.300312,47.629782
1N4BZ0CP5H,Clark,Vancouver,WA,98684.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.5241377,45.6278995
1FTVW1EV3P,Clark,Battle Ground,WA,98604.0,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.5256203,45.7875036
SADHD2S16K,King,Kirkland,WA,98033.0,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1925969,47.676241
5YJXCBE41G,Clark,Vancouver,WA,98686.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.626623,45.711724
1G1RB6E45D,King,Auburn,WA,98002.0,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.2202561,47.3077398
1G1FZ6S02N,King,Seattle,WA,98112.0,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.300312,47.629782
1FMCU0E10P,King,Seattle,WA,98103.0,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.3499053,47.673887
5YJXCBE23G,King,Redmond,WA,98052.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1207376,47.6705374
5YJXCBE20J,King,Bellevue,WA,98004.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.202397,47.619252
1C4JJXR65M,Clark,Vancouver,WA,98683.0,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.515805,45.604689
2C4RC1S74N,King,Seattle,WA,98115.0,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.3008235,47.6862671
3FMTK3SU1M,Kitsap,Bremerton,WA,98312.0,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.6961203,47.5759584
WVGGNPE22N,King,Redmond,WA,98052.0,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1207376,47.6705374
WAUTPBFF1G,King,Seattle,WA,98122.0,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.3128637,47.6104992
JTMABABA6P,King,Tukwila,WA,98188.0,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.271716,47.452837
WAUCJBFW6N,King,Kirkland,WA,98033.0,2022,AUDI,E-TRON GT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1925969,47.676241
W1KEG2CB0P,King,Bellevue,WA,98007.0,2023,MERCEDES-BENZ,EQE-CLASS SEDAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1436732,47.6157551
